Марка;Ссылка;Цена в $;Цена в грн.;Город
Audi Q3 2020;https://auto.ria.com/newauto/auto-audi-q3-1849673.html;46 012 $;1 300 737 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850064.html;84 067 $;2 376 556 грн;Дніпро (Дніпропетровськ)
Audi e-tron 2020;https://auto.ria.com/newauto/auto-audi-e-tron-1834087.html;93 790 $;2 651 414 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1846570.html;89 687 $;2 535 410 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850050.html;91 300 $;2 579 882 грн;Київ
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850957.html;90 694 $;2 563 876 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850510.html;91 677 $;2 591 673 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1849285.html;83 005 $;2 345 486 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1834673.html;98 300 $;2 777 683 грн;Київ
Audi Q5 2020;https://auto.ria.com/newauto/auto-audi-q5-1844142.html;52 045 $;1 471 298 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1849580.html;90 780 $;2 565 189 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1848630.html;91 761 $;2 592 907 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1848121.html;102 022 $;2 698 749 грн;Запоріжжя
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1847961.html;95 179 $;2 690 685 грн;Дніпро (Дніпропетровськ)
Audi Q3 2020;https://auto.ria.com/newauto/auto-audi-q3-1848434.html;51 890 $;1 466 916 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1820506.html;96 700 $;2 732 471 грн;Київ
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1841037.html;97 320 $;2 750 000 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850055.html;76 900 $;2 172 979 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1846380.html;88 874 $;2 511 325 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850123.html;100 251 $;2 834 051 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850123.html;100 251 $;2 834 051 грн;Дніпро (Дніпропетровськ)
Audi A6 2020;https://auto.ria.com/newauto/auto-audi-a6-1834082.html;81 545 $;2 305 240 грн;Дніпро (Дніпропетровськ)
Audi Q5 2020;https://auto.ria.com/newauto/auto-audi-q5-1847464.html;61 127 $;1 728 027 грн;Дніпро (Дніпропетровськ)
Audi e-tron 2020;https://auto.ria.com/newauto/auto-audi-e-tron-1848762.html;91 388 $;2 583 511 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1841557.html;93 781 $;2 650 000 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1846166.html;96 198 $;2 718 290 грн;Одеса
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1846192.html;85 786 $;2 424 059 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1833011.html;82 600 $;2 334 045 грн;Київ
Audi Q3 2020;https://auto.ria.com/newauto/auto-audi-q3-1844402.html;53 611 $;1 515 553 грн;Дніпро (Дніпропетровськ)
Audi Q3 2020;https://auto.ria.com/newauto/auto-audi-q3-1847390.html;60 863 $;1 720 568 грн;Дніпро (Дніпропетровськ)
Audi e-tron Sportback 2020;https://auto.ria.com/newauto/auto-audi-e-tron-sportback-1848766.html;104 253 $;2 947 179 грн;Дніпро (Дніпропетровськ)
Audi RS Q8 2020;https://auto.ria.com/newauto/auto-audi-rs-q8-1831393.html;189 319 $;5 349 614 грн;Київ
Audi SQ7 2020;https://auto.ria.com/newauto/auto-audi-sq7-1833752.html;181 036 $;5 115 567 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1848028.html;81 658 $;2 308 451 грн;Дніпро (Дніпропетровськ)
Audi S6 2020;https://auto.ria.com/newauto/auto-audi-s6-1849698.html;95 029 $;2 686 436 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850058.html;84 635 $;2 392 612 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1846734.html;97 938 $;2 767 440 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1848711.html;84 782 $;2 242 708 грн;Запоріжжя
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1848539.html;103 653 $;2 928 932 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1848545.html;96 861 $;2 737 014 грн;Одеса
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1846383.html;108 977 $;3 079 391 грн;Одеса
Audi A6 2020;https://auto.ria.com/newauto/auto-audi-a6-1846169.html;64 688 $;1 827 908 грн;Одеса
Audi SQ8 2020;https://auto.ria.com/newauto/auto-audi-sq8-1824568.html;171 571 $;4 848 118 грн;Київ
Audi e-tron 2020;https://auto.ria.com/newauto/auto-audi-e-tron-1844003.html;92 293 $;2 607 953 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1847457.html;100 304 $;2 834 310 грн;Одеса
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850346.html;96 865 $;2 737 147 грн;Одеса
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1846306.html;88 909 $;2 351 882 грн;Запоріжжя
Audi SQ8 2020;https://auto.ria.com/newauto/auto-audi-sq8-1845162.html;136 074 $;3 845 059 грн;Київ
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1818535.html;86 259 $;2 437 433 грн;Київ
Audi Q3 2020;https://auto.ria.com/newauto/auto-audi-q3-1844793.html;49 244 $;1 302 643 грн;Запоріжжя
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850078.html;87 995 $;2 487 576 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850470.html;91 534 $;2 586 488 грн;Київ
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850582.html;94 339 $;2 495 518 грн;Запоріжжя
Audi e-tron 2020;https://auto.ria.com/newauto/auto-audi-e-tron-1838125.html;106 491 $;3 009 143 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1832297.html;85 300 $;2 410 339 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850587.html;95 417 $;2 524 032 грн;Запоріжжя
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850857.html;82 756 $;2 189 122 грн;Запоріжжя
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850584.html;101 188 $;2 676 682 грн;Запоріжжя
Audi RS Q8 2020;https://auto.ria.com/newauto/auto-audi-rs-q8-1833746.html;198 785 $;5 617 097 грн;Київ
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850585.html;105 071 $;2 779 409 грн;Запоріжжя
Audi RS Q8 2020;https://auto.ria.com/newauto/auto-audi-rs-q8-1836842.html;195 235 $;5 516 791 грн;Київ
Audi RS Q8 2020;https://auto.ria.com/newauto/auto-audi-rs-q8-1833749.html;183 402 $;5 182 438 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850586.html;84 553 $;2 236 635 грн;Запоріжжя
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850585.html;105 071 $;2 779 409 грн;Запоріжжя
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850839.html;92 122 $;2 436 861 грн;Запоріжжя
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850834.html;97 082 $;2 568 071 грн;Запоріжжя
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850583.html;84 536 $;2 236 197 грн;Запоріжжя
Audi e-tron 2020;https://auto.ria.com/newauto/auto-audi-e-tron-1850623.html;92 486 $;2 613 403 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850620.html;104 790 $;2 961 064 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850615.html;99 077 $;2 799 638 грн;Київ
Audi RS Q8 2020;https://auto.ria.com/newauto/auto-audi-rs-q8-1850637.html;179 854 $;5 082 165 грн;Харків
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1849214.html;104 909 $;2 964 440 грн;Київ
Audi RS Q8 2020;https://auto.ria.com/newauto/auto-audi-rs-q8-1850829.html;192 868 $;5 449 920 грн;Київ
Audi e-tron 2020;https://auto.ria.com/newauto/auto-audi-e-tron-1816853.html;77 976 $;2 203 386 грн;Київ
Audi RS Q8 2020;https://auto.ria.com/newauto/auto-audi-rs-q8-1833744.html;189 319 $;5 349 614 грн;Київ
Audi SQ7 2020;https://auto.ria.com/newauto/auto-audi-sq7-1821817.html;177 486 $;5 015 261 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1846660.html;87 205 $;2 464 182 грн;Харків
Audi R8 2020;https://auto.ria.com/newauto/auto-audi-r8-1835914.html;295 811 $;8 358 791 грн;Київ
Audi A6 2020;https://auto.ria.com/newauto/auto-audi-a6-1846671.html;70 167 $;1 982 713 грн;Харків
Audi e-tron Sportback 2020;https://auto.ria.com/newauto/auto-audi-e-tron-sportback-1819650.html;112 172 $;3 169 666 грн;Київ
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850618.html;96 546 $;2 728 120 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850617.html;99 767 $;2 819 131 грн;Київ
Audi A6 Allroad 2020;https://auto.ria.com/newauto/auto-audi-a6-allroad-1850622.html;98 483 $;2 782 853 грн;Київ
Audi A4 2020;https://auto.ria.com/newauto/auto-audi-a4-1849208.html;52 600 $;1 486 333 грн;Київ
Audi S6 2020;https://auto.ria.com/newauto/auto-audi-s6-1849209.html;98 303 $;2 777 771 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1849215.html;99 097 $;2 800 206 грн;Київ
Audi e-tron Sportback 2020;https://auto.ria.com/newauto/auto-audi-e-tron-sportback-1849207.html;89 586 $;2 531 453 грн;Київ
Audi A6 2020;https://auto.ria.com/newauto/auto-audi-a6-1849212.html;72 833 $;2 058 043 грн;Київ
Audi e-tron 2020;https://auto.ria.com/newauto/auto-audi-e-tron-1849210.html;93 814 $;2 650 918 грн;Київ
Audi Q3 2020;https://auto.ria.com/newauto/auto-audi-q3-1850616.html;54 990 $;1 553 872 грн;Київ
Audi A6 Allroad 2020;https://auto.ria.com/newauto/auto-audi-a6-allroad-1850619.html;104 442 $;2 951 234 грн;Київ
Audi S8 2020;https://auto.ria.com/newauto/auto-audi-s8-1826368.html;224 817 $;6 352 707 грн;Київ
Audi R8 2020;https://auto.ria.com/newauto/auto-audi-r8-1835912.html;278 062 $;7 857 262 грн;Київ
Audi A4 2020;https://auto.ria.com/newauto/auto-audi-a4-1844518.html;53 144 $;1 501 713 грн;Харків
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1816854.html;104 718 $;2 959 024 грн;Київ
Audi S8 2020;https://auto.ria.com/newauto/auto-audi-s8-1838895.html;218 900 $;6 185 497 грн;Київ
Audi e-tron 2021;https://auto.ria.com/newauto/auto-audi-e-tron-1847322.html;98 446 $;2 781 817 грн;Київ
Audi S8 2020;https://auto.ria.com/newauto/auto-audi-s8-1832523.html;224 816 $;6 352 673 грн;Київ
Audi RS6 2020;https://auto.ria.com/newauto/auto-audi-rs6-1810400.html;152 639 $;4 313 154 грн;Київ
Audi R8 2020;https://auto.ria.com/newauto/auto-audi-r8-1835908.html;283 979 $;8 024 438 грн;Київ
Audi SQ8 2020;https://auto.ria.com/newauto/auto-audi-sq8-1833736.html;198 785 $;5 617 097 грн;Київ
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1832371.html;90 519 $;2 557 800 грн;Київ
Audi SQ7 2019;https://auto.ria.com/newauto/auto-audi-sq7-1817196.html;177 486 $;5 015 261 грн;Київ
Audi R8 2020;https://auto.ria.com/newauto/auto-audi-r8-1835913.html;307 644 $;8 693 144 грн;Київ
Audi A8 2020;https://auto.ria.com/newauto/auto-audi-a8-1834106.html;100 576 $;2 842 000 грн;Київ
Audi SQ7 2020;https://auto.ria.com/newauto/auto-audi-sq7-1819161.html;202 334 $;5 717 403 грн;Київ
Audi e-tron GT 2020;https://auto.ria.com/newauto/auto-audi-e-tron-gt-1817087.html;104 718 $;2 959 024 грн;Київ
Audi SQ8 2020;https://auto.ria.com/newauto/auto-audi-sq8-1822780.html;177 486 $;5 015 261 грн;Київ
Audi RS7 2020;https://auto.ria.com/newauto/auto-audi-rs7-1822063.html;227 183 $;6 419 544 грн;Київ
Audi SQ7 2020;https://auto.ria.com/newauto/auto-audi-sq7-1833751.html;177 486 $;5 015 261 грн;Київ
Audi SQ8 2020;https://auto.ria.com/newauto/auto-audi-sq8-1826265.html;171 571 $;4 848 118 грн;Київ
Audi A6 2020;https://auto.ria.com/newauto/auto-audi-a6-1833639.html;78 449 $;2 075 190 грн;Запоріжжя
Audi Q4 2020;https://auto.ria.com/newauto/auto-audi-q4-1817086.html;79 159 $;2 236 821 грн;Київ
Audi A6 2020;https://auto.ria.com/newauto/auto-audi-a6-1842661.html;71 346 $;1 887 296 грн;Запоріжжя
Audi RS Q8 2020;https://auto.ria.com/newauto/auto-audi-rs-q8-1848561.html;183 404 $;5 182 471 грн;Одеса
